"regional";"endereco";"bairro";"localidade";"descricao";"latitude";"longitude"
"Sul";"CANADÁ N 357";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.129615";"-34.955116"
"Sul";"CANADÁ N 236";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.129733";"-34.955126"
"Sul";"CANADÁ N 125";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.129823";"-34.955235"
"Sul";"CANADÁ N 120";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.129823";"-34.955208"
"Sul";"CANADÁ N 45";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130328";"-34.955437"
"Sul";"CANADÁ N 55";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.130400";"-34.955446"
"Sul";"BOM DESTINO N 290";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.131273";"-34.956376"
"Sul";"BOM DESTINO N 105";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.131481";"-34.956431"
"Sul";"BOM DESTINO N S/N";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.131742";"-34.956659"
"Sul";"BOM DESTINO N 05";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.131363";"-34.956531"
"Sul";"BOM DESTINO N 25";"Ibura";"UR-05";"Área de Risco Nível 4";" -8.131102";"-34.956103"
"Sul";"BOM DESTINO N 30";"Ibura";"UR-05";"Área de Risco Nível 4";" -8.131139";"-34.956076"
"Sul";"TRV, BOM DESTINO N 35";"Ibura";"UR-05";"Área de Risco Nível 4";" -8.131256";"-34.956086"
"Sul";"BOM DESTINO N 335 A";"Ibura";"UR-05";"Área de Risco Nível 4";" -8.130497";"-34.956109"
"Sul";"BOM DESTINO N 28";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130307";"-34.956017"
"Sul";"BOM DESTINO N 390";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130207";"-34.956198"
"Sul";"BOM DESTINO N 409";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130236";"-34.955781"
"Sul";"BOM DESTINO N A, 409";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.130326";"-34.955836"
"Sul";"BOM DESTINO N B, 409";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130182";"-34.955799"
"Sul";"BOM DESTINO N 50";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.130596";"-34.956164"
"Sul";"BOM DESTINO N 320";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.130858";"-34.956211"
"Sul";"BOM DESTINO N 80";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.130984";"-34.956338"
"Sul";"Rua 5 Travessa Irakitan N 576";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136404";"-34.940161"
"Sul";"Rua 5 Travessa Irakitan N 576 Em frente";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136404";"-34.940161"
"Sul";"Rua 5 Travessa Irakitan N 577";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136531";"-34.940153"
"Sul";"Rua 5 Travessa Irakitan N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136558";"-34.940153"
"Sul";"Rua 5 Travessa Irakitan N 583";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136612";"-34.940162"
"Sul";"Rua 5 Travessa Irakitan N 581";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136621";"-34.940162"
"Sul";"Rua 5 Travessa Irakitan S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136675";"-34.940162"
"Sul";"Rua 5 Travessa Irakitan N 589A";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136748";"-34.940009"
"Sul";"Rua 5 Travessa Irakitan N 589";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136748";"-34.940127"
"Sul";"Rua 5 Travessa Irakitan N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136748";"-34.940127"
"Sul";"Rua 5 Travessa Irakitan N 597";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136865";"-34.940136"
"Sul";"Rua 5 Travessa Irakitan N S/N";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136820";"-34.940145"
"Sul";"DOIS LEÕES N 42";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.133323";"-34.954853"
"Sul";"DOIS LEÕES N 10";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133359";"-34.954925"
"Sul";"DOIS LEÕES N 30";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133377";"-34.955016"
"Sul";"DOIS LEÕES N 25";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133367";"-34.955116"
"Sul";"DOIS LEÕES N 26";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133403";"-34.955125"
"Sul";"DOIS LEÕES N 162";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133557";"-34.955090"
"Sul";"DOIS LEÕES N 190";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133620";"-34.955108"
"Sul";"RABILO N 41";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133107";"-34.954616"
"Sul";"RABILO N 04";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133134";"-34.954734"
"Sul";"RABILO N 40";"Ibura";"UR-05";"Área de Risco Nível 2";" -8.133143";"-34.954725"
"Sul";"2 TRV, RABILO N 04";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.133146";"-34.954099"
"Sul";"2 TRV, RABILO N 09";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132531";"-34.954114"
"Sul";"2 TRV, RABILO N 192";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132530";"-34.954295"
"Sul";"2 TRV, RABILO N 406";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132476";"-34.954286"
"Sul";"2 TRV, RABILO N 405";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132503";"-34.954395"
"Sul";"2 TRV, RABILO N 404";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132431";"-34.954395"
"Sul";"2 TRV, RABILO N 384 B";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132476";"-34.954422"
"Sul";"2 TRV, RABILO N 384 A";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132484";"-34.954495"
"Sul";"2 TRV, RABILO N 87 A";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132484";"-34.954622"
"Sul";"2 TRV, RABILO N 87 B";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132570";"-34.957271"
"Sul";"RABILO N 384";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132393";"-34.954712"
"Sul";"RABILO N 382";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132429";"-34.954767"
"Sul";"RABILO N 345";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132401";"-34.954821"
"Sul";"RABILO N 381";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132483";"-34.954830"
"Sul";"RABILO N 344";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132482";"-34.954912"
"Sul";"RABILO N 402";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132267";"-34.954603"
"Sul";"RABILO N 461";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132267";"-34.954603"
"Sul";"RABILO N 410";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132106";"-34.954266"
"Sul";"RABILO N 408";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132241";"-34.954285"
"Sul";"RABILO N 460";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.132142";"-34.954130"
"Sul";"RABILO N 471";"Ibura";"UR-05";"Área de Risco Nível 3";" -8.131826";"-34.954129"
"Sul";"Rua Césio Regueiro Costa N 25";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132487";"-34.934989"
"Sul";"Rua Césio Regueiro Costa N 35";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132469";"-34.934953"
"Sul";"Rua Césio Regueiro Costa N 45";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132433";"-34.934925"
"Sul";"Rua Césio Regueiro Costa N 36";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132532";"-34.935017"
"Sul";"Rua Professor Manoel A, Morais  N 05";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132452";"-34.934898"
"Sul";"Rua Professor Manoel A, Morais  N 1112";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132534";"-34.934754"
"Sul";"Rua Professor Manoel A, Morais  N S/N";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132597";"-34.934672"
"Sul";"Rua ConSul Joseph Noujain  N 64";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132743";"-34.934355"
"Sul";"Rua ConSul Joseph Noujain  N 23";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132680";"-34.934310"
"Sul";"Rua ConSul Joseph Noujain  N 64";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132680";"-34.934391"
"Sul";"Rua Maripousa N 10";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132300";"-34.934408"
"Sul";"Rua Maripousa N 10A";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132337";"-34.934353"
"Sul";"Rua Maripousa N 10 -ao lado";"Jordão";"Costa Porto";"Área de Risco Nível 3";" -8.132373";"-34.934272"
"Sul";"Rua Colônia N 143A";"Ibura";"Vila do Sesi";"Não Informado";" -8.108657";"-34.942532"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 30";"Ibura";"Vila do Sesi";"Não Informado";" -8.108611";"-34.942649"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 555";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108656";"-34.942595"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 10";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108701";"-34.942623"
"Sul";"Rua Monsenhor João Olimpio dos Santos n S/N";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108765";"-34.942650"
"Sul";"Rua Monsenhor João Olimpio dos Santos n S/N";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108520";"-34.942722"
"Sul";"Rua Monsenhor João Olimpio dos Santos n S/N";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108601";"-34.942749"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 92";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108610";"-34.942795"
"Sul";"Rua Monsenhor João Olimpio dos Santos n S/N";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108574";"-34.942803"
"Sul";"Rua Monsenhor João Olimpio dos Santos n S/N";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108601";"-34.942749"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 82";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108692";"-34.942804"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 82A";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108701";"-34.942804"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 83";"Ibura";"Vila do Sesi";"Área de Risco Nível 3";" -8.108790";"-34.942950"
"Sul";"Rua Monsenhor João Olimpio dos Santos n S/N";"Ibura";"Vila do Sesi";"Não Informado";" -8.108611";"-34.942622"
"Sul";"Rua Monsenhor João Olimpio dos Santos n 93";"Ibura";"Vila do Sesi";"Não Informado";" -8.108620";"-34.942595"
"Sul";"Rua 4 TRAV, IRAKITANN 533";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136664";"-34.940734"
"Sul";"Rua 4 TRAV, IRAKITANN 531";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136682";"-34.940725"
"Sul";"Rua 4 TRAV, IRAKITANN 09";"Jordão";"Jordão Alto";"Área de Risco Nível 3";" -8.136573";"-34.940743"
